Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Transportadora; Data solicitacao; Data aprovacao; Data programada; Data recebimento; Status
M08010002702;;;;100;;09/01/2008;09/01/2008;;;Aprovada
M08010002893;;;;750;;09/01/2008;01/09/2008;21/02/2008;01/03/2008;Encerrada
M08010002974;;;;780;;09/01/2008;09/01/2008;;;Aprovada
M08010003008;;;;150;;09/01/2008;01/09/2008;21/02/2008;01/03/2008;Encerrada
M08010003784;;;;160;;09/01/2008;01/09/2008;;;Aprovada
M08010003865;;;;435;;09/01/2008;01/09/2008;21/02/2008;01/03/2008;Encerrada
M08010003946;;;;878;;09/01/2008;09/01/2008;;;Aprovada
M08010004837;;;;135;;09/01/2008;01/09/2008;21/02/2008;01/03/2008;Encerrada
M08010004918;;;;1074;;09/01/2008;09/01/2008;;;Aprovada
M08010005051;;;;2000;;09/01/2008;09/01/2008;12/01/2008;01/03/2008;Encerrada
M08010005132;;;;789;;09/01/2008;01/10/2008;01/12/2008;;Em trânsito
M08010005213;;;;852;;09/01/2008;;;;Em espera de Aprovação
M08010005728;;;;3060;;10/01/2008;;;;Em espera de Aprovação
M08010005809;;;;4568;;10/01/2008;;;;Em espera de Aprovação
M08010005990;;;;1000;;10/01/2008;16/01/2008;;;Aprovada
M08030001116;4;Nitek;SP;110;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;31/03/2008;31/03/2008;04/02/2008;02/04/2008;Encerrada
M08030001388;1;CONTEC INFORMATICA LTDA                 ;SP;130;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;31/03/2008;31/03/2008;02/05/2008;;Cancelada
M08040000341;4;Nitek;SP;300;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;02/04/2008;04/02/2008;05/02/2008;28/04/2008;Encerrada
M08040000694;4;Nitek;SP;200;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;02/04/2008;02/04/2008;;;Aguardando coleta
E08040001070;4;Nitek;SP;320;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;08/04/2008;08/04/2008;;;Aguardando coleta
M08040001151;4;Nitek;SP;315;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;08/04/2008;08/04/2008;;;Aguardando coleta
E08040001313;4;Nitek;SP;100;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;14/04/2008;;;Material entregue e ainda não devolvido
E08040001402;4;Nitek;SP;200;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;14/04/2008;;;Material entregue e ainda não devolvido
E08040001585;4;Nitek;SP;300;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;14/04/2008;;;Material entregue e ainda não devolvido
E08040001666;4;Nitek;SP;400;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;14/04/2008;;;Material entregue e ainda não devolvido
E08040001747;4;Nitek;SP;450;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;14/04/2008;;;Material entregue e ainda não devolvido
E08040001828;4;Nitek;SP;550;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;14/04/2008;;;Material entregue e ainda não devolvido
M08040001909;4;Nitek;SP;100;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;16/04/2008;;;Aguardando coleta
M08040002042;4;Nitek;SP;200;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;16/04/2008;;;Aprovada
M08040002123;4;Nitek;SP;300;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;;;;Rejeitada
M08040002204;4;Nitek;SP;400;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;28/04/2008;;;Aprovada
M08040002395;4;Nitek;SP;450;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;25/04/2008;;;Aguardando coleta
M08040002476;4;Nitek;SP;550;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;14/04/2008;25/04/2008;;;Cancelada
