Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C07090018602;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018602;8;NEXXIA;1000;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018785;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018785;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018785;8;NEXXIA;500;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018866;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018866;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018866;8;NEXXIA;1000;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018947;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018947;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018947;8;NEXXIA;500;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019161;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;17/09/2007;06/10/2011
C07090019595;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019595;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019595;8;NEXXIA;1000;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019676;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019676;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019676;8;NEXXIA;500;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019919;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019919;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090019919;8;NEXXIA;500;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090020097;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090020097;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090020097;8;NEXXIA;500;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090013716;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090013716;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090014100;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090014100;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090014283;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090014283;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090018602;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090018602;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090018785;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090018785;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090018866;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090018866;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090018947;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090018947;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090019595;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090019595;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090019676;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090019676;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090019919;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090019919;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090020097;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090020097;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090020410;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090020410;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090020500;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090020500;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;18/09/2007;18/10/2007
C07090021069;17;Horiba ABX Diagnostics;3600000;00018;Super bonus;P;20/09/2007;05/02/2035
C07090021069;17;Horiba ABX Diagnostics;700000;00018;Super bonus;P;20/09/2007;05/02/2035
C07090020844;15;Érico Tooru Tanji ;2400;00018;Super bonus;P;20/09/2007;05/02/2035
C07090020844;15;Érico Tooru Tanji ;1800;00018;Super bonus;P;20/09/2007;05/02/2035
C07090020844;15;Érico Tooru Tanji ;1800;00018;Super bonus;P;20/09/2007;05/02/2035
C07090020763;14;TRIBUNAL DE JUSTIÇA DO MS;2800;00018;Super bonus;P;20/09/2007;05/02/2035
C07090022898;24;TESTE MIRACULA 3;6000;00018;Super bonus;P;21/09/2007;06/02/2035
C07090022898;24;TESTE MIRACULA 3;6000;00018;Super bonus;P;21/09/2007;06/02/2035
C07090000142;1;BANCO ITAU S. A.                        ;9840;00018;Super bonus;P;24/09/2007;09/02/2035
C07090000223;1;BANCO ITAU S. A.                        ;26160;00018;Super bonus;P;24/09/2007;09/02/2035
C07090000304;1;BANCO ITAU S. A.                        ;7020;00018;Super bonus;P;24/09/2007;09/02/2035
C07090001386;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090001700;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090001700;1;BANCO ITAU S. A.                        ;3000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090001700;1;BANCO ITAU S. A.                        ;2700;00018;Super bonus;P;24/09/2007;09/02/2035
C07090004563;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090012159;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090012310;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090018351;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090019161;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090023940;25;Premier TI;3000;00018;Super bonus;P;24/09/2007;09/02/2035
C07090023940;25;Premier TI;2250;00018;Super bonus;P;24/09/2007;09/02/2035
C07090023940;25;Premier TI;1980;00018;Super bonus;P;24/09/2007;09/02/2035
C07090024750;25;Premier TI;12000;00018;Super bonus;P;26/09/2007;11/02/2035
C07090024750;25;Premier TI;18000;00018;Super bonus;P;26/09/2007;11/02/2035
C07100000654;31;Okidata;30000;00018;Super bonus;P;08/10/2007;23/02/2035
C07100000654;31;Okidata;3600;00018;Super bonus;P;08/10/2007;23/02/2035
C07100000654;31;Okidata;3600;00018;Super bonus;P;08/10/2007;23/02/2035
C07100000654;31;Okidata;4800;00018;Super bonus;P;08/10/2007;23/02/2035
C07100000905;31;Okidata;3000;00018;Super bonus;P;08/10/2007;23/02/2035
C07100000905;31;Okidata;5400;00018;Super bonus;P;08/10/2007;23/02/2035
C07100002517;31;Okidata;9000;00018;Super bonus;P;10/10/2007;25/02/2035
C07100002606;31;Okidata;18000;00018;Super bonus;P;10/10/2007;25/02/2035
C07100002789;31;Okidata;270000;00018;Super bonus;P;10/10/2007;25/02/2035
C07100003246;14;TRIBUNAL DE JUSTIÇA DO MS;27000;00018;Super bonus;P;10/10/2007;25/02/2035
C07100004137;1;BANCO ITAU S. A.                        ;2700;00018;Super bonus;P;10/10/2007;25/02/2035
C07100004218;1;BANCO ITAU S. A.                        ;9000;00018;Super bonus;P;10/10/2007;25/02/2035
C07100004307;31;Okidata;10800;00018;Super bonus;P;10/10/2007;25/02/2035
C07100004480;31;Okidata;31500;00018;Super bonus;P;10/10/2007;25/02/2035
C07100004560;31;Okidata;40500;00018;Super bonus;P;10/10/2007;25/02/2035
C07100004641;31;Okidata;7020;00018;Super bonus;P;10/10/2007;25/02/2035
C07100004722;31;Okidata;4050;00018;Super bonus;P;10/10/2007;25/02/2035
C07100004803;31;Okidata;2700;00018;Super bonus;P;10/10/2007;25/02/2035
C07100005109;43;TESTE 23;100;00004;Clientes Regiao Sul;P;23/10/2007;22/12/2007
C07100005109;43;TESTE 23;50;00004;Clientes Regiao Sul;P;23/10/2007;22/12/2007
C07100005109;43;TESTE 23;240;00004;Clientes Regiao Sul;P;23/10/2007;22/12/2007
C07110000266;45;Sab Company;400000;00024;EXPIRADO;P;01/11/2007;02/11/2007
C07110001823;58;OIOIOOIOIOIO;800000;00024;EXPIRADO;P;21/11/2007;22/11/2007
C07110002552;64;Teste Coleta Ltda.;5400;00018;Super bonus;P;29/11/2007;16/04/2035
C07090000576;1;BANCO ITAU S. A.                        ;5220;00018;Super bonus;P;03/12/2007;20/04/2035
C07090001548;1;BANCO ITAU S. A.                        ;14220;00018;Super bonus;P;03/12/2007;20/04/2035
C07090011004;6;MIRACULA STORE;900;00013;Cadastro de Bonus para a Miracula Store;R;03/12/2007;02/01/2008
C07090011187;6;MIRACULA STORE;100;00013;Cadastro de Bonus para a Miracula Store;R;03/12/2007;02/01/2008
C07090011268;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;03/12/2007;02/01/2008
C07090011349;6;MIRACULA STORE;4000;00013;Cadastro de Bonus para a Miracula Store;R;03/12/2007;02/01/2008
C07090011420;6;MIRACULA STORE;4000;00013;Cadastro de Bonus para a Miracula Store;R;03/12/2007;02/01/2008
C07090021069;17;Horiba ABX Diagnostics;40000;00024;EXPIRADO;P;03/12/2007;04/12/2007
C07090021069;17;Horiba ABX Diagnostics;10000;00024;EXPIRADO;P;03/12/2007;04/12/2007
C07120002679;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002679;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002679;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002679;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002830;70;Testando Sistema Ltda.;2700;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002830;70;Testando Sistema Ltda.;2700;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002830;70;Testando Sistema Ltda.;2700;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002830;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002911;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002911;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002911;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;12/12/2007;29/04/2035
C07120002911;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;12/12/2007;29/04/2035
C07120003640;70;Testando Sistema Ltda.;900;00018;Super bonus;P;13/12/2007;30/04/2035
C07120003640;70;Testando Sistema Ltda.;900;00018;Super bonus;P;13/12/2007;30/04/2035
C07120003640;70;Testando Sistema Ltda.;900;00018;Super bonus;P;13/12/2007;30/04/2035
C07120003640;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;13/12/2007;30/04/2035
C07120004450;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;13/12/2007;30/04/2035
C07120004450;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;13/12/2007;30/04/2035
C07120004450;70;Testando Sistema Ltda.;900;00018;Super bonus;P;13/12/2007;30/04/2035
C07120004450;70;Testando Sistema Ltda.;900;00018;Super bonus;P;13/12/2007;30/04/2035
C07120004884;70;Testando Sistema Ltda.;6300;00018;Super bonus;P;13/12/2007;30/04/2035
C07120004965;70;Testando Sistema Ltda.;3600;00018;Super bonus;P;13/12/2007;30/04/2035
C07120005007;70;Testando Sistema Ltda.;6300;00018;Super bonus;P;13/12/2007;30/04/2035
C07120006151;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;14/12/2007;01/05/2035
C07120006151;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;14/12/2007;01/05/2035
C07120006151;70;Testando Sistema Ltda.;2700;00018;Super bonus;P;14/12/2007;01/05/2035
C07120006151;70;Testando Sistema Ltda.;2700;00018;Super bonus;P;14/12/2007;01/05/2035
C07120003136;73;Cliente 22;200;00028;Bonus Teste Dolar;D;21/12/2007;29/05/2008
C07120007476;79;Master do Cliente;3600;00018;Super bonus;P;27/12/2007;14/05/2035
C07120007476;79;Master do Cliente;3600;00018;Super bonus;P;27/12/2007;14/05/2035
C07120007557;79;Master do Cliente;3600;00018;Super bonus;P;27/12/2007;14/05/2035
C07120007557;79;Master do Cliente;3600;00018;Super bonus;P;27/12/2007;14/05/2035
C08010000173;25;Premier TI;5000;00018;Super bonus;P;03/01/2008;21/05/2035
C08010000173;25;Premier TI;2250;00018;Super bonus;P;03/01/2008;21/05/2035
C08010000173;25;Premier TI;2250;00018;Super bonus;P;03/01/2008;21/05/2035
C08010001064;4;BANCO ABN AMRO REAL S/A                 ;550;00002;Contribuição;R;16/01/2008;08/07/2013
C08010001064;4;BANCO ABN AMRO REAL S/A                 ;500;00002;Contribuição;R;16/01/2008;08/07/2013
C08010001145;4;BANCO ABN AMRO REAL S/A                 ;1000;00002;Contribuição;R;16/01/2008;08/07/2013
C08010001145;4;BANCO ABN AMRO REAL S/A                 ;1000;00002;Contribuição;R;16/01/2008;08/07/2013
C08010001579;86;Teste de importação de txt;50000;00018;Super bonus;P;16/01/2008;03/06/2035
C08010001579;86;Teste de importação de txt;45000;00018;Super bonus;P;16/01/2008;03/06/2035
C08010006376;92;Inteprint;500000;00018;Super bonus;P;16/01/2008;03/06/2035
C08010006457;92;Inteprint;56400;00018;Super bonus;P;16/01/2008;03/06/2035
C08010006104;90;51 boa idéia;8500;00018;Super bonus;P;16/01/2008;03/06/2035
C08010007500;81;Klima Campinas;80000;00018;Super bonus;P;20/01/2008;07/06/2035
C08010007690;81;Klima Campinas;80000;00018;Super bonus;P;20/01/2008;07/06/2035
C08010007771;81;Klima Campinas;80000;00018;Super bonus;P;20/01/2008;07/06/2035
C08010007933;97;Teste de bônus;50000;00018;Super bonus;P;21/01/2008;08/06/2035
C08010008077;97;Teste de bônus;60000;00018;Super bonus;P;21/01/2008;08/06/2035
C08010008158;97;Teste de bônus;70000;00018;Super bonus;P;21/01/2008;08/06/2035
C08010008239;97;Teste de bônus;80000;00018;Super bonus;P;21/01/2008;08/06/2035
